ID,Name,School,Damage Types,Descriptors,Tags,Wiki Categories
1851,"Spider Skin",Transmutation,,None,,Transmutation School
1852,"FALSE LIFE",Necromancy,Negative,Negative,Negative,Necromancy School; Negative Energy; Death Effect
1853,"BALEFUL POLYMORPH",Transmutation,,Chaos,Chaos,Transmutation School; Will Save; Curse; Polymorph
1854,"DEHYDRATE",Necromancy,Negative,Negative,Negative,Necromancy School; Negative Energy; Fortitude Save; Curse
1855,"BLADES OF FIRE",Transmutation,Fire,Fire,Fire,Transmutation School; Fire Damage
1856,"LIFE TRANSFERENCE",Necromancy,Magical; Negative,Negative,Negative,Necromancy School; Magical Damage; Negative Energy; Healing
1858,"BLACKFIRE",Necromancy,Entropy; Fire,Fire, Evil,Fire; Evil,Necromancy School; Entropy Damage; Fire Damage
1859,"Sustain",Necromancy,,Healing,Healing,Necromancy School; Healing
1860,"Vicious Mockery",Enchantment,,Mind,Mind,Enchantment School; Will Save
1861,"FRIGID DARKNESS",Necromancy,Cold; Entropy; Negative,Negative, Cold,Negative; Cold,Necromancy School; Cold Damage; Entropy Damage; Negative Energy; Fortitude Save
1862,"Serene Visage",Illusion,,Illusion,Illusion,Illusion School
1863,"Withering Ray",Necromancy,Entropy; Negative,Death, Negative,Death; Negative,Necromancy School; Entropy Damage; Negative Energy; Fortitude Save; Death Effect
1864,"Strangulate",Necromancy,,Evil,Evil,Necromancy School; Reflex Save; Undead
1865,"Spinal Tap",Necromancy,Entropy; Negative,Negative,Negative,Necromancy School; Entropy Damage; Negative Energy; Will Save
1867,"Power Word Bleed",Divination,,None,,Divination School; Fortitude Save; Undead
1868,"Stop Heart",Necromancy,Magical,Death,Death,Necromancy School; Magical Damage; Fortitude Save; Death Effect; Undead
1869,"CHILL TOUCH",Necromancy,Cold; Entropy; Negative,Negative, Evil,Negative; Evil,Necromancy School; Cold Damage; Entropy Damage; Negative Energy; Will Save; Undead
1870,"Vengeful Mount",Enchantment,,Mind,Mind,Enchantment School
1872,"Power Word Blind",Divination,,None,,Divination School; Will Save
1873,"GREATER MAGE ARMOR",Conjuration,,None,,Conjuration School
1874,"NEGATIVE ENERGY FLOOD",Necromancy,Negative,Negative,Negative,Necromancy School; Negative Energy; Fortitude Save; Healing; Undead
1875,"Wraith Stride",Necromancy,,None,,Necromancy School; Undead
1878,"EAGLE SIGHT",Divination,,None,,Divination School
1879,"Solipsism",Illusion,,Mind Affecting,Mind Affecting,Illusion School; Will Save; Mind-Affecting
1880,"PHANTOM WOUND",Illusion,,Mind Affecting,Mind Affecting,Illusion School; Will Save; Mind-Affecting
1907,"Vermilion Stars",Evocation,Electricity,Blood Arcana, Death, Electricity,Blood Arcana; Death; Electricity,Evocation School; Electric Damage; Fortitude Save; Reflex Save; Death Effect
1908,"CRIMSON LIGHTNING",Evocation,Electricity,Blood Arcana, Electricity, Curse,Blood Arcana; Electricity; Curse,Evocation School; Electric Damage; Fortitude Save; Reflex Save; Curse
1921,"BESTOW WOUND",Necromancy,,Blood Arcana,Blood Arcana,Necromancy School; Healing
1922,"HEMORRHAGE",Necromancy,Negative; Piercing; Slashing,Blood Arcana,Blood Arcana,Necromancy School; Negative Energy; Piercing Damage; Slashing Damage; Fortitude Save; Death Effect; Curse
1923,"SOUL SCOUR",Necromancy,Divine,Blood Arcana,Blood Arcana,Necromancy School; Divine Damage; Will Save; Stun
1924,"GRIM TERROR",Necromancy,,Blood Arcana,Blood Arcana,Necromancy School; Will Save; Fear Effect; Death Effect; Curse
1926,"Predator",Necromancy,,Blood Arcana,Blood Arcana,Necromancy School
1928,"CURSE STORM",Necromancy,,Evil,Evil,Necromancy School; Mind-Affecting; Fear Effect; Death Effect; Healing; Curse
